                                    sIP|sPort|   Records|  %Records|   cumul_%|
                             10.0.40.20|   53|     27643| 63.446487| 63.446487|
                             10.0.20.59|   80|     10672| 24.494480| 87.940967|
                             10.0.40.21|   80|      1395|  3.201818| 91.142785|
                             10.0.40.27|    0|       338|  0.775781| 91.918566|
                             10.0.40.83|55939|        14|  0.032133| 91.950699|
                             10.0.40.83|55135|        11|  0.025247| 91.975946|
                             10.0.40.83|  137|         6|  0.013771| 91.989717|
                             10.0.40.83|   21|         3|  0.006886| 91.996603|
                             10.0.40.27|44768|         2|  0.004590| 92.001194|
                             10.0.40.27|41185|         2|  0.004590| 92.005784|
                             10.0.40.83|49225|         2|  0.004590| 92.010374|
                             10.0.40.27|42122|         2|  0.004590| 92.014965|
                             10.0.40.27|41133|         2|  0.004590| 92.019555|
                             10.0.50.23|  137|         2|  0.004590| 92.024146|
                             10.0.40.83|54254|         2|  0.004590| 92.028736|
                             10.0.40.83|50622|         2|  0.004590| 92.033326|
                             10.0.40.83|49228|         2|  0.004590| 92.037917|
                             10.0.40.83|49229|         2|  0.004590| 92.042507|
                             10.0.40.27|41033|         2|  0.004590| 92.047098|
                             10.0.40.83|49227|         2|  0.004590| 92.051688|
                             10.0.50.23|54570|         2|  0.004590| 92.056279|
                             10.0.40.83|49224|         2|  0.004590| 92.060869|
                             10.0.50.23|54576|         2|  0.004590| 92.065459|
                             10.0.40.83|49226|         2|  0.004590| 92.070050|
                             10.0.40.83|49223|         2|  0.004590| 92.074640|
                             10.0.40.83|49180|         2|  0.004590| 92.079231|
                             10.0.40.83|49232|         2|  0.004590| 92.083821|
                             10.0.40.27|44301|         2|  0.004590| 92.088411|
                             10.0.40.83|49236|         2|  0.004590| 92.093002|
                             10.0.40.27|44441|         2|  0.004590| 92.097592|
                             10.0.50.23|54569|         2|  0.004590| 92.102183|
                             10.0.40.83|49230|         2|  0.004590| 92.106773|
                             10.0.40.27|45007|         2|  0.004590| 92.111364|
                             10.0.40.83|55501|         1|  0.002295| 92.113659|
                             10.0.40.83|56689|         1|  0.002295| 92.115954|
                             10.0.40.83|55559|         1|  0.002295| 92.118249|
                             10.0.40.83|56992|         1|  0.002295| 92.120544|
                             10.0.40.83|56191|         1|  0.002295| 92.122840|
                             10.0.40.83|55403|         1|  0.002295| 92.125135|
                             155.6.3.11|56138|         1|  0.002295| 92.127430|
                             10.0.40.83|55979|         1|  0.002295| 92.129725|
                             10.0.40.83|53623|         1|  0.002295| 92.132020|
                             10.0.40.83|53948|         1|  0.002295| 92.134316|
                             155.6.3.11|56215|         1|  0.002295| 92.136611|
