dPort|   Records|
 2725|        17|
60823|         1|
 6969|        15|
24800|        16|
  711|        17|
34972|         1|
39518|         1|
 8099|        14|
 1296|        17|
 1032|        14|
42510|        12|
55690|         1|
  524|        15|
34968|         1|
   13|        16|
 2008|        17|
 1998|        13|
 5904|        12|
 1009|        14|
 1094|        15|
  301|        12|
  616|        19|
34974|         1|
15742|        17|
 4111|        12|
 1583|        15|
 4242|        12|
 1000|        13|
43944|         1|
10616|        15|
 5988|        16|
  555|        14|
 4899|        17|
 1311|        12|
 3880|        15|
 1524|        12|
41106|         1|
 6510|        16|
49163|        13|
  545|        14|
 2010|        12|
34973|         1|
 9878|        14|
   21|        15|
 5907|        13|
 1259|        15|
32768|        12|
 2222|        12|
  541|        17|
  199|        13|
 7676|        15|
 1100|        13|
 9594|        14|
20031|        15|
 5050|        13|
 8192|        16|
 5500|        12|
 8021|        13|
54307|         1|
49162|         1|
 1864|        14|
 8181|        18|
 1106|        12|
 9002|        17|
  340|        14|
 5221|        19|
 5952|        13|
 4125|        13|
34988|         1|
19801|        16|
    0|         5|
 1027|        13|
 2875|        16|
  995|        13|
 4224|        14|
27000|        16|
49158|        13|
 2190|        14|
 3306|        14|
 1062|        13|
 3369|        14|
 6689|        14|
 8100|        15|
 5963|        13|
51670|         1|
49016|         2|
56868|         1|
  705|        16|
 1043|        16|
 7921|        13|
 5001|        13|
 5550|        15|
 4126|        12|
27715|        12|
 9102|        12|
 3945|        15|
 1718|        18|
 2602|        15|
 9207|        16|
   43|        16|
   24|        12|
 2020|        13|
 8089|        15|
 1999|        15|
 1110|        18|
34955|         1|
 1149|        15|
34994|         1|
 3017|        14|
34949|         1|
 1067|        14|
  617|        13|
 3333|        14|
32785|        15|
23502|        17|
 3689|        12|
 4900|        15|
 5900|        13|
 3006|        15|
36867|       211|
 1141|        13|
 6006|        15|
 2717|        13|
 1594|        12|
 5862|        13|
64680|        13|
 2401|        18|
 5051|        18|
 1199|        15|
39680|         1|
 2126|        14|
34967|         1|
 9081|        13|
44176|        16|
 1443|        17|
 1111|        15|
    6|        14|
34947|         1|
 4998|        18|
 4444|        12|
 6788|        16|
 9535|        16|
34948|         1|
17877|        16|
 4006|        12|
10002|        12|
  993|        14|
 2381|        12|
   22|        16|
 9666|        12|
34572|        14|
 1056|        14|
 3128|        20|
  417|        15|
 5903|        16|
 2605|        12|
34976|         1|
 1029|        15|
 1113|        14|
 1805|        17|
   32|        15|
57867|         1|
39358|         1|
 4550|        14|
32769|        16|
 1801|        14|
 3013|        16|
  445|        76|
 1174|        14|
 2100|        16|
65389|        14|
 5998|        14|
 3322|        16|
  646|        17|
34977|         1|
 3389|        12|
19780|        14|
 6547|        12|
49155|        13|
34946|         1|
 9220|        14|
 8002|        13|
 8654|        17|
 2604|        12|
  981|        13|
 7002|        14|
34942|         1|
32774|        14|
 1023|        12|
 1145|        12|
 6668|        12|
 9290|        15|
 1783|        12|
 9050|        19|
55898|         1|
 1054|        17|
49165|        16|
 1119|        18|
 5877|        15|
 1048|        17|
 3828|        17|
  125|        13|
 3077|        16|
10001|        16|
 9418|        17|
 6025|        12|
 4445|        13|
 1072|        17|
22692|         1|
  547|         3|
 1097|        12|
 1063|        16|
 3517|        13|
20000|        16|
 4321|        14|
 3168|        16|
 1700|        16|
 3801|        15|
32940|         1|
 5822|        12|
 1070|        13|
16016|        13|
20222|        15|
16113|        12|
 1055|        14|
34986|         1|
50001|        15|
 9009|        13|
34980|         1|
 7200|        15|
  513|        12|
16001|        12|
 3827|        16|
 3011|        17|
  544|        16|
 5355|        20|
 5100|        12|
15003|        13|
 9593|        14|
34742|         1|
 9040|        17|
30951|        13|
36868|         7|
 3800|        16|
10629|        16|
   79|        17|
34945|         1|
 5054|        13|
 9575|        12|
 2005|        13|
 1185|        14|
49314|         1|
39556|         1|
10025|        17|
 5999|        17|
37134|         1|
 2500|        15|
 2811|        15|
 5432|        12|
 8701|        12|
 6646|        13|
 2099|        16|
 1039|        14|
49400|        17|
  992|        13|
 5802|        16|
 9071|        15|
  843|        12|
42405|         1|
 5060|        14|
 6001|        14|
60855|         1|
 5987|        14|
 5850|        15|
 1037|        12|
 7019|        12|
49999|        14|
20828|        15|
 5190|        15|
 1068|        14|
 5222|        12|
50410|         1|
49211|         1|
54733|         1|
 3371|        13|
51493|        16|
27355|        12|
  254|        14|
 5911|        14|
 1030|        14|
 2323|        15|
 2105|        14|
 8193|        12|
 2034|        14|
   90|        13|
27353|        14|
39666|         1|
55888|         1|
 3766|        16|
39638|         1|
  911|        15|
 6004|        15|
 9968|        15|
44443|        13|
49157|        16|
 2021|        13|
 8888|        14|
 2909|        17|
 1007|        18|
 9003|        16|
   42|        13|
 3809|        14|
36608|         4|
 3659|        15|
 2968|        16|
 5915|        13|
 2106|        14|
55724|         1|
 7000|        13|
20005|        12|
 1862|        13|
 1076|        13|
   23|        12|
 5004|        14|
11111|        13|
  110|        15|
 2035|        14|
   19|        16|
 6580|        15|
34995|         1|
 9100|        14|
 4003|        12|
 5405|        13|
 2111|        13|
  668|        17|
14000|        16|
 1057|        13|
  264|        15|
 2557|        17|
 9090|        12|
   88|        13|
  625|        16|
30718|        12|
 6059|        14|
 8087|        13|
 8800|        12|
34996|         1|
 1533|        17|
 7106|        13|
 6779|        14|
 1840|        17|
 2492|        15|
53258|         1|
34944|         1|
 1641|        14|
 2103|        16|
16992|        16|
  255|        15|
11110|        15|
 5225|        16|
34981|         1|
32775|        15|
 1026|        14|
  587|        15|
 2030|        17|
 8291|        15|
  137|         4|
 9917|        13|
39494|         1|
 7778|        13|
39526|         1|
 1461|        15|
31038|        13|
 8443|        12|
 1132|        16|
 4567|        15|
 1309|        12|
50002|        13|
50636|        16|
10009|        12|
 1077|        13|
10566|        17|
 2383|        15|
 5910|        13|
    3|        15|
 5102|        14|
 1042|        15|
 1521|        17|
32778|        12|
58820|         1|
32776|        12|
 1075|        12|
12265|        14|
 5431|        16|
 3998|        17|
 1138|        15|
34984|         1|
10024|        12|
49452|         1|
 1047|        15|
32777|        13|
32779|        13|
 9943|        15|
 2048|        15|
34985|         1|
 9500|        12|
  427|        12|
16000|        13|
 1108|        14|
  990|        17|
 3005|        15|
 1107|        13|
 2638|        17|
34971|         1|
55055|        17|
39624|         1|
  139|        14|
 9415|        14|
 2394|        13|
 1163|        15|
 3871|        13|
 5101|        14|
 9080|        13|
 1328|        18|
34979|         1|
 2144|        14|
   53|        23|
 1900|        28|
 2161|        12|
 2003|        13|
 4443|        12|
 1434|        18|
38292|        13|
13782|        18|
 3878|        14|
 3814|        15|
 1148|        12|
34941|         2|
 9011|        12|
 4005|        13|
 1717|        14|
  280|        13|
  497|        14|
 1352|        16|
 1073|        18|
 1093|        12|
 8082|        12|
 2366|        16|
 8083|        14|
 5906|        13|
56737|        16|
  161|        12|
   84|        18|
 1947|        14|
19315|        12|
   70|        13|
 5730|        17|
 1099|        12|
 3905|        13|
 4446|        13|
 1089|        16|
 2920|        14|
 2042|        13|
  714|        15|
34966|         1|
  687|        13|
   83|        13|
 1058|        14|
 2170|        13|
61900|        15|
 3003|        15|
19101|        12|
47331|         1|
22401|         1|
50500|        13|
 5631|        16|
  902|        17|
39584|         1|
 6007|        12|
31337|        17|
 1169|        16|
55555|        17|
 1244|        15|
 2007|        12|
  777|        16|
34048|         1|
 4662|        13|
  406|        13|
 4001|        16|
 1079|        15|
 2002|        17|
 3000|        17|
 8045|        13|
 1433|        14|
25735|        13|
60443|        13|
  720|        12|
 2910|        12|
34960|         1|
  163|        17|
 1121|        14|
  667|        12|
49161|        14|
16018|        12|
 2301|        13|
 8222|        16|
 5030|        17|
48434|         1|
50389|        12|
 2033|        13|
59927|         1|
  666|        13|
 3737|        14|
 2701|        14|
 5566|        13|
 6002|        15|
 8290|        12|
16080|        13|
  416|        15|
 6123|        12|
61532|        14|
 1974|        14|
  808|        14|
 2006|        14|
 2160|        13|
39462|         1|
 3260|        16|
 1186|        13|
 8194|        12|
 8402|        15|
 8080|        13|
33354|        12|
  138|         3|
 2522|        14|
 2107|        17|
 8009|        15|
 1217|        13|
35001|         1|
39492|         1|
 6566|        13|
34969|         1|
  443|        16|
34962|         1|
 5902|        14|
 3580|        15|
 5678|        12|
   20|        12|
 1723|        14|
 8254|        14|
 2967|        12|
 1090|        13|
 8086|        17|
 2525|        12|
 1046|        13|
 1300|        15|
39594|         1|
32783|        16|
 1114|        14|
 2038|        13|
  903|        18|
  783|        14|
 8600|        16|
 8001|        16|
 1972|        13|
 1074|        15|
 5989|        17|
39552|         1|
52848|        13|
  987|        13|
 1130|        12|
 5901|        14|
 5003|        14|
 8011|        12|
 1271|        12|
39490|         1|
 2179|        14|
 4449|        13|
 6667|        15|
45566|         1|
50006|        13|
   89|        14|
 9485|        13|
    4|        13|
13456|        14|
39596|         1|
 2601|        13|
 1088|        12|
34978|         1|
34952|         1|
 5120|        18|
14442|        18|
50000|        13|
 9877|        12|
50003|        17|
15002|        13|
 3851|        17|
 1126|        13|
 3268|        20|
34997|         1|
54045|        15|
 1035|        19|
34950|         1|
 3971|        13|
48352|         1|
49152|        15|
22855|         1|
30000|        14|
 1011|        15|
  256|        12|
 9595|        13|
 1301|        13|
  382|         1|
57797|        14|
 5298|        16|
 8383|        12|
 1001|        14|
  912|        17|
36572|         1|
19842|        15|
44501|        12|
54328|        16|
 8200|        17|
 6669|        14|
 2288|        14|
 1040|        13|
 8031|        16|
 5087|        16|
52673|        17|
35003|         1|
 2200|        20|
 1500|        15|
 7004|        15|
 1687|        17|
49167|        15|
10082|        15|
 2135|        14|
14441|        14|
 1719|        15|
 1031|        12|
 7007|        15|
   33|        16|
   81|        15|
 1122|        17|
 1091|        13|
34965|         1|
 2047|        12|
48600|         1|
  515|        15|
 2718|        12|
13783|        13|
63331|        14|
  683|        16|
34963|         1|
 1053|        14|
 2869|        16|
  113|        13|
  211|        14|
 5960|        15|
53224|         1|
   67|         7|
 6567|        16|
 3030|        12|
34931|       815|
36865|       511|
15000|        12|
42932|         1|
 1213|        12|
 2119|        14|
10010|        13|
  146|        12|
 2382|        15|
49175|        15|
 9502|        19|
 1198|        15|
45100|        15|
 5666|        16|
47680|         1|
 1455|        12|
52869|        14|
46364|         1|
 2043|        17|
  109|        12|
50528|         1|
13722|        14|
65000|        14|
 4279|        13|
 9998|        13|
35002|         1|
 9010|        13|
