                                    sIP|sPort|                                    dIP|dPort|   Records|
                             10.0.40.20|   53|                          192.168.70.10|56374|         1|
                             10.0.40.20|   53|                          192.168.70.10|57617|         1|
                             10.0.40.20|   53|                          192.168.70.10|58448|         1|
                             10.0.40.20|   53|                          192.168.70.10|57962|         1|
                             10.0.40.20|   53|                          192.168.70.10|56255|         1|
                             10.0.40.20|   53|                          192.168.70.10|53777|         1|
                             10.0.40.83|53943|                          192.168.70.10| 8082|         1|
                             10.0.40.20|   53|                          192.168.70.10|56786|         1|
                             10.0.40.20|   53|                          192.168.70.10|60425|         1|
                             10.0.40.83|53864|                          192.168.70.10| 8082|         1|
                             10.0.40.20|   53|                          192.168.70.10|59329|         1|
                             10.0.40.20|   53|                          192.168.70.10|62139|         1|
                             10.0.40.20|   53|                          192.168.70.10|58195|         1|
                             10.0.40.20|   53|                          192.168.70.10|61908|         1|
                             10.0.40.20|   53|                          192.168.70.10|50110|         1|
                             10.0.40.20|   53|                          192.168.70.10|56739|         1|
                             10.0.40.20|   53|                          192.168.70.10|59477|         2|
                             10.0.40.20|   53|                          192.168.70.10|51130|         1|
                             10.0.40.20|   53|                          192.168.70.10|59992|         1|
                             10.0.40.20|   53|                          192.168.70.10|62110|         1|
                             10.0.40.20|   53|                          192.168.70.10|54990|         1|
                             10.0.40.20|   53|                          192.168.70.10|57767|         1|
                             10.0.40.20|   53|                          192.168.70.10|52077|         1|
                             10.0.40.20|   53|                          192.168.70.10|53615|         1|
                             10.0.40.20|   53|                          192.168.70.10|58765|         1|
                             10.0.40.83|53621|                          192.168.70.10| 8082|         1|
                             10.0.40.20|   53|                          192.168.70.10|64198|         2|
                             10.0.40.20|   53|                          192.168.70.10|49900|         1|
                             10.0.40.83|53613|                          192.168.70.10| 8082|         1|
