                                    sIP|sPort|                                    dIP|dPort|   Records|
                             10.0.20.59|   80|                          192.168.70.10|51384|         1|
                             10.0.20.59|   80|                          192.168.70.10|51588|         1|
                             10.0.20.59|   80|                          192.168.70.10|52229|         1|
                             10.0.20.59|   80|                          192.168.70.10|58752|         1|
                             10.0.20.59|   80|                          192.168.70.10|53775|         1|
                             10.0.20.59|   80|                          192.168.70.10|61027|         1|
                             10.0.20.59|   80|                          192.168.70.10|53862|         1|
                             10.0.20.59|   80|                          192.168.70.10|63732|         1|
                             10.0.20.59|   80|                          192.168.70.10|52508|         1|
                             10.0.20.59|   80|                          192.168.70.10|60058|         1|
                             10.0.20.59|   80|                          192.168.70.10|64295|         1|
                             10.0.20.59|   80|                          192.168.70.10|60438|         1|
                             10.0.20.59|   80|                          192.168.70.10|54200|         1|
                             10.0.20.59|   80|                          192.168.70.10|65208|         1|
                             10.0.20.59|   80|                          192.168.70.10|60133|         1|
                             10.0.20.59|   80|                          192.168.70.10|61740|         1|
                             10.0.20.59|   80|                          192.168.70.10|58918|         1|
                             10.0.20.59|   80|                          192.168.70.10|63910|         1|
                             10.0.20.59|   80|                          192.168.70.10|62192|         1|
                             10.0.20.59|   80|                          192.168.70.10|61813|         1|
                             10.0.20.59|   80|                          192.168.70.10|49170|         1|
                             10.0.20.59|   80|                          192.168.70.10|64951|         1|
                             10.0.20.59|   80|                          192.168.70.10|63577|         1|
                             10.0.20.59|   80|                          192.168.70.10|57458|         1|
                             10.0.20.59|   80|                          192.168.70.10|59547|         1|
                             10.0.20.59|   80|                          192.168.70.10|51290|         1|
                             10.0.20.59|   80|                          192.168.70.10|56982|         1|
                             10.0.20.59|   80|                          192.168.70.10|64394|         1|
                             10.0.20.59|   80|                          192.168.70.10|52470|         1|
