                                    sIP|sPort|                                    dIP|dPort|   Records|
                          192.168.70.10|56747|                             10.0.40.20|   53|         1|
                          192.168.70.10|59232|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53952|         1|
                          192.168.70.10|52687|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53621|         1|
                          192.168.70.10|63627|                             10.0.40.20|   53|         1|
                          192.168.70.10|64915|                             10.0.40.20|   53|         1|
                          192.168.70.10|60888|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.27|44406|         1|
                          192.168.70.10|62493|                             10.0.40.20|   53|         1|
                          192.168.70.10|63376|                             10.0.40.20|   53|         1|
                          192.168.70.10|52347|                             10.0.40.20|   53|         1|
                          192.168.70.10|52961|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53638|         1|
                          192.168.70.10|52875|                             10.0.40.20|   53|         1|
                          192.168.70.10|51373|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53596|         1|
                          192.168.70.10|58810|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53608|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53897|         1|
                          192.168.70.10|51736|                             10.0.40.20|   53|         1|
                          192.168.70.10|62182|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53940|         1|
                          192.168.70.10|64981|                             10.0.40.20|   53|         1|
                          192.168.70.10| 8082|                             10.0.40.83|53624|         1|
                          192.168.70.10|62647|                             10.0.40.20|   53|         1|
                          192.168.70.10|59554|                             10.0.40.20|   53|         1|
                          192.168.70.10|50977|                             10.0.40.20|   53|         1|
                          192.168.70.10|56515|                             10.0.40.20|   53|         1|
