                                    sIP|sPort|                                    dIP|dPort|   Records|
                          192.168.70.10|53110|                             10.0.20.59|   80|         1|
                          192.168.70.10|52511|                             10.0.20.59|   80|         1|
                          192.168.70.10|53028|                             67.215.0.5|  443|         1|
                          192.168.70.10|63591|                             10.0.20.59|   80|         1|
                          192.168.70.10|55892|                             10.0.20.59|   80|         1|
                          192.168.70.10|58918|                             10.0.20.59|   80|         1|
                          192.168.70.10|57521|                             10.0.20.59|   80|         1|
                          192.168.70.10|54202|                             10.0.20.59|   80|         1|
                          192.168.70.10|57010|                             10.0.20.59|   80|         1|
                          192.168.70.10|59421|                             10.0.20.59|   80|         1|
                          192.168.70.10|54029|                             10.0.20.59|   80|         1|
                          192.168.70.10|59251|                             10.0.20.59|   80|         1|
                          192.168.70.10|63679|                             10.0.20.59|   80|         1|
                          192.168.70.10|63410|                             10.0.20.59|   80|         1|
                          192.168.70.10|50992|                             10.0.20.59|   80|         1|
                          192.168.70.10|61027|                             10.0.20.59|   80|         1|
                          192.168.70.10|56281|                             10.0.20.59|   80|         1|
                          192.168.70.10|50211|                             10.0.20.59|   80|         1|
                          192.168.70.10|49881|                             10.0.20.59|   80|         1|
                          192.168.70.10|58573|                             10.0.20.59|   80|         1|
                          192.168.70.10|64881|                             10.0.20.59|   80|         1|
                          192.168.70.10|56594|                             67.215.0.5|  443|         1|
                          192.168.70.10|57651|                             10.0.20.59|   80|         1|
                          192.168.70.10|53984|                             10.0.20.59|   80|         1|
                          192.168.70.10|52122|                             10.0.20.59|   80|         1|
                          192.168.70.10|53057|                             10.0.20.59|   80|         1|
                          192.168.70.10|57382|                             10.0.20.59|   80|         1|
                          192.168.70.10|64680|                             10.0.20.59|   80|         1|
                          192.168.70.10|58562|                             10.0.20.59|   80|         1|
