sIP|dIP|sPort|dPort|protocol|bytes|
192.168.153.130|123.108.200.124|37466|123|17|76|
123.108.200.124|192.168.153.130|123|37466|17|76|
192.168.153.129|192.168.153.2|137|137|17|864|
192.168.153.130|123.108.200.124|41911|123|17|76|
123.108.200.124|192.168.153.130|123|41911|17|76|
192.168.153.1|239.255.255.250|64079|1900|17|804|
192.168.153.130|123.108.200.124|43598|123|17|76|
123.108.200.124|192.168.153.130|123|43598|17|76|
192.168.153.130|192.168.153.129|0|0|1|14240|
192.168.153.129|192.168.153.130|0|2048|1|15185|
192.168.153.130|123.108.200.124|39442|123|17|76|
123.108.200.124|192.168.153.130|123|39442|17|76|
192.168.153.1|192.168.153.255|17500|17500|17|644|
