                                    dIP|dPort|   Records|  %Records|   cumul_%|
                             10.0.40.20|   53|     27641| 21.299500| 21.299500|
                             10.0.20.59|   80|     10672|  8.223590| 29.523090|
                          110.45.243.91|   80|      2375|  1.830119| 31.353209|
                             10.0.40.20|  771|      2329|  1.794672| 33.147881|
                          66.254.98.132|   80|      2020|  1.556564| 34.704445|
                             10.0.40.21|   80|      1395|  1.074954| 35.779399|
                         74.125.228.235|   80|      1278|  0.984797| 36.764196|
                          23.235.37.133|   80|      1215|  0.936250| 37.700446|
                           199.7.51.190|   80|      1122|  0.864587| 38.565033|
                            62.149.10.4|   80|      1121|  0.863816| 39.428849|
                            96.47.24.14|   80|      1038|  0.799858| 40.228707|
                             67.215.0.5|  443|       989|  0.762100| 40.990807|
                          104.64.55.129|   80|       917|  0.706618| 41.697426|
                          103.10.41.131|   80|       903|  0.695830| 42.393256|
                           60.6.197.195|   80|       900|  0.693519| 43.086775|
                          114.31.104.53|   80|       811|  0.624937| 43.711712|
                           54.230.16.81|   80|       805|  0.620314| 44.332026|
                          91.103.137.65|   80|       737|  0.567915| 44.899941|
                           60.28.196.64|   80|       691|  0.532468| 45.432409|
                            23.6.47.201|   80|       663|  0.510892| 45.943301|
                          75.126.26.245|   80|       659|  0.507810| 46.451111|
                           104.28.10.16|   80|       659|  0.507810| 46.958921|
                         94.231.107.248|   80|       659|  0.507810| 47.466730|
                           23.13.128.38|   80|       648|  0.499333| 47.966064|
                          83.167.35.154|   80|       646|  0.497792| 48.463856|
                         106.120.160.74|   80|       607|  0.467740| 48.931596|
                           69.64.41.101|   80|       596|  0.459263| 49.390859|
                           50.63.172.52|   80|       594|  0.457722| 49.848582|
                         104.130.65.112|   80|       593|  0.456952| 50.305534|
                           121.40.85.86|   80|       573|  0.441540| 50.747074|
                            46.28.209.1|   80|       570|  0.439228| 51.186302|
                         89.145.116.227|   80|       564|  0.434605| 51.620907|
                          50.116.63.217|   80|       544|  0.419194| 52.040101|
                          66.186.16.143|   80|       543|  0.418423| 52.458524|
                         54.169.228.174|   80|       525|  0.404553| 52.863076|
                           117.34.28.84|   80|       508|  0.391453| 53.254529|
                          74.84.198.242|   80|       502|  0.386829| 53.641358|
                          124.251.6.106|   80|       500|  0.385288| 54.026647|
                           96.45.49.200|   80|       483|  0.372188| 54.398835|
                          23.220.57.253|   80|       481|  0.370647| 54.769482|
                           37.59.93.230|   80|       468|  0.360630| 55.130112|
                          23.49.246.249|   80|       466|  0.359089| 55.489200|
                          65.54.251.240|   80|       454|  0.349842| 55.839042|
                           46.28.209.44|   80|       450|  0.346759| 56.185801|
