sPort|   Records|
 2725|         7|
60823|         1|
 6969|         5|
24800|         7|
  711|         6|
34972|         1|
39518|         1|
 8099|         4|
 1296|         6|
 1032|         4|
42510|         4|
55690|         1|
  524|         5|
34968|         1|
   13|         5|
 2008|         6|
 1998|         5|
60839|         1|
 5904|         4|
 1009|         4|
 1094|         5|
  301|         4|
  616|         8|
34974|         1|
15742|         6|
52426|         1|
 4111|         4|
 1583|         6|
 4242|         4|
 1000|         5|
43944|         1|
10616|         5|
 5988|         6|
  555|         4|
 4899|         6|
 1311|         4|
 3880|         5|
 1524|         4|
41106|         1|
 6510|         6|
49163|         5|
  545|         4|
 2010|         4|
34973|         1|
 9878|         4|
   21|         7|
 5907|         5|
 1259|         5|
32768|         4|
 2222|         4|
  541|         6|
  199|         5|
 7676|         5|
 1100|         5|
 9594|         6|
20031|         5|
 5050|         5|
 8192|         6|
 5500|         4|
 8021|         5|
54307|         1|
49162|         1|
 1864|         5|
 8181|         7|
 1106|         4|
 9002|         6|
  340|         4|
 5221|         7|
 5952|         5|
 4125|         5|
34988|         1|
19801|         5|
    0|        14|
 1027|         5|
 2875|         5|
  995|         5|
 4224|         4|
27000|         5|
49158|         5|
 2190|         4|
 3306|         6|
 1062|         5|
 3369|         4|
 6689|         4|
 8100|         5|
 5963|         5|
51670|         1|
49016|         2|
56868|         1|
  705|         5|
 1043|         5|
 7921|         5|
 5001|         5|
 5550|         5|
 4126|         4|
27715|         4|
 9102|         4|
 3945|         6|
 1718|         7|
 2602|         6|
 9207|         5|
   43|         5|
   24|         4|
 2020|         5|
 8089|         5|
 1999|         5|
 1110|         7|
34955|         1|
 1149|         5|
34994|         1|
 3017|         4|
34949|         1|
 1067|         6|
  617|         5|
 3333|         4|
32785|         7|
57518|         2|
23502|         6|
 3689|         4|
 4900|         5|
 5900|         5|
 3006|         5|
36867|       422|
 1141|         5|
 6006|         5|
 2717|         5|
 1594|         4|
 5862|         5|
64680|         5|
 2401|         7|
 5051|         7|
 1199|         6|
39680|         1|
 2126|         6|
34967|         1|
 9081|         5|
44176|         5|
 1443|         6|
 1111|         5|
    6|         6|
65147|         1|
34947|         1|
 4998|         8|
 4444|         4|
 6788|         5|
 9535|         5|
34948|         1|
17877|         5|
 4006|         4|
10002|         4|
  993|         6|
 2381|         4|
   22|         9|
 9666|         4|
34572|         4|
 1056|         4|
 3128|        13|
  417|         5|
 5903|         5|
 2605|         4|
34976|         1|
 1029|         7|
 1113|         4|
 1805|         6|
   32|         5|
57867|         1|
39358|         1|
 4550|         6|
32769|         5|
 1801|         6|
 3013|         5|
  445|        71|
 1174|         6|
 2100|         5|
65389|         4|
 5998|         6|
 3322|         5|
  646|         6|
34977|         1|
 3389|         4|
19780|         4|
 6547|         4|
49155|         5|
34946|         1|
 9220|         4|
 8002|         5|
 8654|         6|
 2604|         4|
  981|         5|
 7002|         6|
34942|         1|
32774|         5|
 1023|         4|
 1145|         4|
 6668|         4|
 9290|         5|
 1783|         4|
53538|         1|
 9050|         7|
55898|         1|
 1054|         6|
49165|         5|
 1119|         7|
 5877|         5|
 1048|         6|
 3828|         6|
  125|         5|
 3077|         5|
10001|         5|
 9418|         6|
 6025|         4|
 4445|         5|
 1072|         6|
 1097|         4|
 1063|         6|
 3517|         5|
20000|         5|
 4321|         4|
 3168|         5|
 1700|         5|
 3801|         5|
32940|         1|
 5822|         4|
 1070|         5|
16016|         5|
20222|         5|
16113|         4|
 1055|         4|
34986|         1|
50001|         5|
 9009|         5|
34980|         1|
 7200|         5|
  513|         4|
16001|         4|
 3827|         5|
 3011|         8|
  544|         5|
 5100|         4|
55277|         1|
15003|         5|
 9593|         5|
34742|         1|
 9040|         6|
30951|         5|
36868|        14|
 3800|         6|
10629|         6|
   79|         6|
34945|         1|
 5054|         5|
 9575|         4|
 2005|         5|
 1185|         4|
49314|         1|
39556|         1|
10025|         6|
 5999|         6|
37134|         1|
 2500|         6|
 2811|         5|
 5432|         4|
 8701|         4|
 6646|         5|
 2099|         5|
 1039|         4|
49400|         6|
  992|         5|
 5802|         5|
 9071|         5|
  843|         4|
42405|         1|
 5060|         6|
 6001|         4|
60855|         1|
 5987|         4|
 5850|         5|
 1037|         4|
 7019|         4|
49999|         6|
20828|         5|
 5190|         5|
 1068|         6|
 5222|         4|
50410|         1|
49211|         1|
54733|         1|
 3371|         5|
51493|         6|
27355|         4|
  254|         4|
 5911|         6|
 1030|         4|
 2323|         5|
 2105|         6|
 8193|         4|
 2034|         6|
62368|         1|
   90|         5|
27353|         6|
39666|         1|
55888|         1|
 3766|         5|
39638|         1|
  911|         5|
 6004|         5|
 9968|         5|
44443|         5|
49157|         5|
 2021|         5|
 8888|         6|
 2909|         8|
 1007|         7|
 9003|         5|
   42|         5|
 3809|         6|
 3659|         5|
 2968|         6|
 5915|         5|
63298|         1|
 2106|         4|
55724|         1|
 7000|         5|
20005|         4|
 1862|         5|
 1076|         5|
   23|         4|
 5004|         6|
11111|         5|
  110|         7|
 2035|         5|
   19|         6|
 6580|         6|
34995|         1|
 9100|         6|
 4003|         4|
 5405|         5|
 2111|         5|
  668|         6|
14000|         6|
 1057|         5|
  264|         5|
 2557|         6|
 9090|         4|
   88|         5|
  625|         5|
30718|         4|
 6059|         4|
 8087|         5|
 8800|         4|
34996|         1|
 1533|         7|
 7106|         5|
 6779|         4|
 1840|         6|
 2492|         6|
53258|         1|
34944|         1|
 1641|         5|
 2103|         7|
16992|         5|
  255|         5|
11110|         5|
 5225|         5|
