sIP|dIP|Records|%Records|cumul_%|
10.0.40.20|192.168.40.20|4245357|12.130440|12.130440|
192.168.40.20|10.0.40.20|4144909|11.843426|23.973866|
192.168.20.58|67.215.0.5|625345|1.786825|25.760691|
10.0.40.20|10.0.20.58|486052|1.388817|27.149508|
10.0.20.58|10.0.40.20|486037|1.388774|28.538283|
10.0.40.20|192.168.40.25|440097|1.257508|29.795791|
192.168.40.25|10.0.40.20|437808|1.250968|31.046758|
67.215.0.5|192.168.20.58|426348|1.218222|32.264980|
10.0.40.20|192.168.20.58|374851|1.071078|33.336058|
192.168.20.58|192.228.79.201|328268|0.937974|34.274032|
