sIP|dIP|bytes|Bytes|%Bytes|cumul_%|
10.0.40.21|192.168.70.10|68282013|341410065|0.495973|0.495973|
10.0.40.21|192.168.164.119|60764718|243058872|0.353096|0.849069|
10.0.40.21|192.168.141.146|60756958|243027832|0.353051|1.202121|
10.0.40.21|192.168.141.156|60756038|243024152|0.353046|1.555166|
10.0.40.21|192.168.164.252|60752198|243008792|0.353024|1.908190|
10.0.40.21|192.168.141.189|60750878|243003512|0.353016|2.261206|
10.0.40.21|192.168.141.195|60749318|242997272|0.353007|2.614213|
10.0.40.21|192.168.141.73|60748199|242992796|0.353000|2.967213|
67.215.0.8|192.168.111.212|51784258|207137032|0.300912|3.268125|
192.168.40.20|10.0.40.20|148|123453904|0.179344|3.447469|
