                  sTime|                  eTime|                                    sIP|sPort|                                    dIP|dPort|pro|   packets|
2015/06/17T15:29:56.869|2015/06/17T15:30:18.337|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    405734|
2015/06/17T15:29:56.731|2015/06/17T15:30:18.159|                             67.215.0.8|11007|                         192.168.123.14|53028|  6|    383268|
2015/06/17T15:29:56.731|2015/06/17T15:30:18.159|                             67.215.0.8|11007|                         192.168.123.14|53028|  6|    383268|
2015/06/17T15:29:57.036|2015/06/17T15:30:18.330|                             67.215.0.8|11007|                         192.168.123.14|53028|  6|    371110|
2015/06/17T15:29:57.036|2015/06/17T15:30:18.330|                             67.215.0.8|11007|                         192.168.123.14|53028|  6|    371110|
2015/06/17T15:29:56.729|2015/06/17T15:30:18.175|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    369686|
2015/06/17T15:29:56.729|2015/06/17T15:30:18.175|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    369686|
2015/06/17T15:29:57.032|2015/06/17T15:30:18.328|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    369686|
2015/06/17T15:29:57.032|2015/06/17T15:30:18.328|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    369686|
2015/06/17T15:27:44.614|2015/06/17T15:30:11.698|                         192.168.123.14|53028|                             67.215.0.8|11007|  6|    369250|
